poem_name,poem_meter,poem_content,line_count
لقد غنيت بالقيل من آل هاشم,طويل,"لقد غنيَتْ بالقَيْلِ من آل هاشمٍ
قرين العُلى عن كل عْمروٍ ومالك
فأضحتْ يودُّ الروض لو خطرت به
وغُدر الفلا لو خُضنَ خوضة سالك
حَسون الكرى رِيّاً بأرغد منزلٍ
فاُنْسين منهال اللِّوى والدَّكادكِ
هجرن سوى نادي الوزير وجودهِ
من الناس هجر الغانياتِ الفَواركِ
جنابُ جوادِ اِن ألَمَّتْ شديدةٌ
من المحْلِ غفَّارُ العظيمةِ فاتكِ
يُشاركهُ عافوهُ في صفْوِ مالهِ
وليس له في مجدهِ من مُشاركِ
مَريرُ القوى صعب المقادة في العِدى
على أنه في الودِّ سَهْلُ العرائكِ",7
لم أر جارا لامرئ يستجيره,طويل,"لَم أَرَ جاراً لِاِمرِئٍ يَستَجيرُهُ
كَجارِيَ أَوفى لي جِواراً وَأَمنَعا
رَمى بي إِلَيهِ الخَوفُ حَتّى أَتَيتُهُ
وَقَد يَمنَعُ الحامي إِذا ما تَمَنَّعا
فَشَمَّرَ عَن ساقَيهِ حَتّى تَطامَنَت
أَنابيبُ نَفسي وَاِستَقَرَّت بِها مَعا
بِهِ حَطَمَ اللَهُ القُيودَ وَأومِنَت
مَخافَةُ نَفسٍ طومِنَت أَن تَفَزَّعا
كَمَنعِ أَبي لَيلى عِياضَ بنَ دَيهَثٍ
عَشِيَّةَ خافَ القَومُ أَن يَتَمَزَّعا
فَما يَحيَ لا أَخشَ العَدُوَّ وَلا أَزَل
عَلى الناسِ أَعلو مِن ذُرى المَجدِ مَفرَعا
جَزى اللَهُ جاري خَيرَ ما كانَ جازِياً
مِنَ الناسِ جاراً يَومَ بِنتُ مُوَدِّعا",7
نعوك بهم كان النعي ولم تمت,طويل,"نَعَوكَ بِهِم كانَ النَعيُّ وَلَم تَمُت
وَلَو مُتَّ ماتَ الظَرفُ أَجمَعَ كُلُّهُ
وَما اِستَثقَلوا مِن مُدَّةٍ قَد تَكامَلَت
وَمِن عُمُرٍ لَم يَبقَ إِلّا أَقَلُّهُ
عَلى أَنَّ لَهواً لِلصَديقِ يَسُرُّهُ
وَدَرءً عَلى حَدِّ العَدُوِّ يَفُلُّهُ
بَقيتَ أَبا العَيناءِ فينا وَلا يَزَل
لَنا ظِلُّ أُنسٍ في ذَراكَ نَحُلُّهُ",4
وفتيان صدق من عدي عليهم,طويل,"وَفِتيانِ صِدقٍ مِن عَدِيٍّ عَلَيهِمُ
صَفائِحُ بُصرى عُلِّقَت بِالعَواتِقِ
إِذا ما دُعوا لَم يَسأَلوا مَن دَعاهُمُ
وَلَم يُمسِكوا فَوقَ القُلوبِ الخَوافِقِ
وَطاروا إِلى الجُردِ العِتاقِ فَأَلجَموا
وَشَدّوا عَلى أَوساطِهِم بِالمَناطِقِ
أولَئِكَ آباءُ الغَريبِ وَغاثَةُ الـ
ـصَريخِ وَمَأوى المُرمِلينَ الدَرادِقِ
أَحَلّوا حِياضَ المَوتِ فَوقَ جِباهِهِم
مَكانَ النَواصي مِن وُجوهِ السَوابِقِ",5
ويوم اللوى ابكاك نوح حمامة,طويل,"وَيَوم اللَوى ابكاك نوح حَمامَة
هُتوف الضُحى بِالنوحِ ظلت تفجَع
فَقُلت اتَبكي ذاتَ طوق تذكرت
هَديلا وَقَد اودى وَما كانَ تُبع
وَأَدري وَلا أَبكي وَتَبكي وَما دَرَت
بِعَولَتِها غير البُكى كَيفَ تصنَع
وَلم تَر ما تَبكي وَاِترُك ما ارى
وَتَحفَظ ما تَبكي لَهُ وَأَضيّع",4
وذي هيف للبرق منه ابتسامة,طويل,"وَذي هَيَفٍ لَلْبَرْقِ مِنْهُ ابْتِسامَةٌ
وراءَ غَمامٍ عَنْ مَدامِعِهِ أَبْكي
أَظُنُّ مَهاةَ الرَّمْلِ عن لَحَظاتِهِ
إِذَا نَظَرَتْ تَحْكي مِنَ السِحْرِ ما تَحْكي
فَهَلْ نَهْلَةٌ مِنْ رِيقَةٍ هِي واللَّمى
بِفِيهِ رِحيقٌ في خِتامٍ مِنَ المِسْكِ",3
متى أشتفي يا ليت شعري بنظرة,طويل,"مَتى أَشتَفي يا لَيتَ شِعري بِنَظرَةٍ
إِلى مَن بِوُدّي نَلتَقي فَأُعاتِبُه
حَبيبٌ تَجَنّى فَاِعتَذَرنا فَما اِنثَنى
وَصَدَّ فَواصَلنا فَما لانَ جانِبُه
فَحَتّى مَتى يَسري إِلَيهِ تَفَضُّلي
وَهِجرانُهُ ما تَستَقِلُّ رَكائِبُه",3
ألا من لنفس في الهوى قد تمادت,طويل,"أَلا مَن لِنَفسٍ في الهَوى قَد تَمادَتِ
إِذا قُلتُ قَد مالَت عَنِ الجَهلِ عادَتِ
وَحَسبُ امرِئٍ شَرّاً بِإِهمالِ نَفسِهِ
وَإِمكانِها مِن كُلِّ شَيءٍ أَرادَتِ
تَزاهَدتُ في الدُنيا وَإِنّي لَراغِبٌ
أَرى رَغبَتي مَمزوجَةً بِزَهادَتي
وَعَوَّدتُ نَفسي عادَةً فَلَزِمتُها
أَراهُ عَظيماً أَن أُفارِقَ عادَتي
إِرادَةُ مَدخولٍ وَعَقلُ مُقَصِّرٍ
وَلَو صَحَّ لي عَقلي لَصَحَّت إِرادَتي
وَلَو طابَ لي غَرسي لَطابَت ثِمارُهُ
وَلَو صَحَّ لي غَيبي لَسَحَّت شَهادَتي
أَيا نَفسُ ما الدُنيا بِأَهلٍ لِحَيِّها
دَعيها لِأَقوامٍ عَلَيها تَعادَتِ
أَلا قَلَّما تَبقى نُفوسٌ لِأَهلِها
إِذا راوَحَتهُنَّ المَنايا وَغادَتِ
أَلا كُلُّ نَفسٍ طالَ في الغَيِّ عُمرُها
تَموتُ وَإِن كانَت عَنِ المَوتِ حادَتِ
أَلا أَينَ مَن وَلّى بِهِ اللَهوُ وَالصِبا
وَأَينَ قُرونٌ قَبلُ كانَت فَبادَتِ
كَأَن لَم أَكُن شَيئاً إِذا صِرتُ في الثَرى
وَصارَ مِهادي رَضرَضاً وَوِسادَتي
وَما مَلجَأٌ لي غَيرَ مَن أَنا عَبدُهُ
إِلى اللَهِ رَبّي شِقوَتي وَسَعادَتي",12
طمعت بأمر ليس لي فيه مطمع,طويل,"طَمِعتُ بِأَمرٍ لَيسَ لي فيهِ مَطمَعُ
فَأَخلَفَني فَالعَينُ مِن ذاكَ تَدمَعُ
وَباعَدَني مَن لا أُحِبُّ بِعادَهُ
فَنَفسي عَلَيهِ كُلَّ حينٍ تَقَطَّعُ
وَقَد كُنتُ أَرجو أَن تَجودَ بِنائِلٍ
فَأَلفَيتُها بِالبَذلِ لا تَتَطَوَّعُ
فَواكَبِدي مِن خَشيَةِ البَينِ بَعدَما
رَجوتُ نَوالاً مِن عُثَيمَةَ يَنفَعُ
فَقَد تَرَكَتني ما أَلَذُّ لِذُلَّةٍ
حَديثاً وَنَفسي نَحوَها تَتَطَلَّعُ",5
إذا رابني الأقوام بعد ودادة,طويل,"إِذا رابَني الأَقوامُ بَعدَ وَدادَةٍ
لَبِستُ القِلى نَعلاً بِغَيرِ قِبالِ
وَأَغبَطُ رَحلَ الهَمِّ في ظَهرِ عَزمَةٍ
مُواشِكَةٍ مِن عَجرَفٍ وَنِقالِ
وَما كُنتُ إِن فارَقتُ حَيّاً ذَمَمتُهُ
بِطولِ نِزاعي أَو تَحِنُّ جِمالي
إِذا عَلِموا مِنّي عَلاقَةَ وامِقٍ
فَلا يَأمَنوا يَوماً نُزاعَةَ سالي
أَأَذهَبُ عَن قَومٍ كِرامٍ أَعِزَّةٍ
إِلى جِذمِ قَومٍ عاجِزينَ بِخالِ
كَمَن بادَلَ الإِجلاءَ في العَينِ بِالقَذى
وَآبَ بِداءٍ لا يُطَبُّ عُضالُ
يُنازِعُني الأَحسابَ مُستَضعَفُ القُوى
لَهُ عَن رِهانِ المَجدِ أَيُّ عِقالِ
إِذا مُغرَمٌ غادى اِتَّقاهُ بِعِرضِهِ
أَمامَ يَدَيهِ وَاِتَّقَيتُ بِمالي
يَمُدُّ يَداً مَخبولَةً لِيَنالَني
وَقَد أَعجَزَ الأَيدي الصِحاحَ مَنالي
تَعَرَّضتُ لِلعَريضِ حَتّى عَلِقتُهُ
بِأُظفورِ أَقنى ذي نَدىً وَظِلالِ
وَمَن لَم يَدَع إيقادَ نارٍ بِقَرَّةٍ
فَلا بُدَّ يَوماً أَن يَجيءَ بِصالي
وَإِنّي عَلى بُعدٍ بِرَميِ قَوارِضي
لَأَرغَبُ جُرحاً مِن رَمِيِّ نِبالي
يُشَكِّكُ فِيَّ الناظِرونَ أَفَلَّهُ
غِرارُ مَقالي أَم غِرارُ نِصالي
لَئِن أَطمَعَ الأَقوامَ حِلمي فَرُبَّما
أَخافَهُمُ بَعدَ الأَمانِ صِيالي
وَلَيسَ قُبوعُ الصِلِّ مانِعَ وَثبِهِ
إِذا نالَ مِنهُ والِغٌ بِمَنالِ",15
ألا هاتها راحا لها ريح عنبر,طويل,"أَلا هاتِها راحاً لَها ريحُ عَنبَرِ
عَلى حِسِّ طَنبورٍ وَإيقاعِ مَزهَرِ
فَلِلدَولَةِ الحَسناءِ جيدٌ مُقَلَّدٌ
بِجَوهَرِ تَدبيرِ الحُسَينِ بنِ جَوهَرِ
أَخو هِمَمٍ غُرٍّ إِذا هُوَ حَثَّها
لِتَلحَقَ بِالعَلياءِ لَم تَتَعَثَّرِ
إِذا قائِدُ القَوّادِ أَعمَلَ رَأيَهُ
رَأى نَفسَهُ ما بَينَ مَجدٍ وَمَفخَرِ",4
جدير بأنواع الثناء مع الشكر,طويل,"جَدير بِأَنواع الثَناء مَع الشُكرِ
أَمير مَساعيه إِلى الخَير وَالبرِ
سَعى وَهو مَسعود فَعادَ مؤيداً
وَتوّجه الرَحمن بِالظفر وَالنَصر
وَلاحَ بِأُفق السَعد في مَصر نجمُه
فَأَربى سَناه في الأَنام عَلى البَدر
وَهاداه ذو ودّ بِأَنفس حرفة
فَأَبدَع ما يَزهو مِن البيض وَالسُمر
وَأَوصى سليمان لَهُ بِلقائه
فَأَصبَح فينا أَوحَد الوَقت وَالعَصر
فَيا مَن حَوى علماً نَقياً وَحكمة
وَفَضلاً بِهِ فاقَ البَرية في مَصر
وَيا مَن سَما فينا بِحُسن فراسة
وَرَأيٍ عَلا فَوق السَماكين وَالنسر
وَيا مَن غَدَت مَصر تتيه بفنِّه
عَلى سائر البُلدان في البَر وَالبَحر
وَيا عالَماً في واحد قَد بَدا لَنا
وَيا صاحب المَعروف وَالنهي وَالأَمر
وَيا مَركز العرفان يا مَن تشرفت
بِهِ رتب الإقبال وَالعز وَالفَخر
وَيا قطب دائرة الادارة وَالذَكا
وَيا كَعبة الطلاب يا طَيب الذكر
وَيا دَوحة المَجد المؤثل وَالندى
وَيا خَير مَن وافى وَأَنعَم بِالبشر
تَهنأ بِما أُوليتَ مِن مَنصب حَوى
بِفَضلك ما يَرجو مِن الجاه وَالقَدر
فَلا زالَ بَينَ الناس حَظك وافِراً
وَنجمك يَزهو في السَماء عَن الزُهر
وَلا زلت مَشكور المَساعي موفقاً
إِلى الخَير وَالرَأي السَديد إِلى الحَشر",15
ومثقلة الأرداف مهضومة الحشا,طويل,"وَمُثْقَلَةِ الأرْدَافِ مَهْضُومَةِ الحَشَا
مُنَعَّمَةِ الأعْطَافِ نَاعِسَةِ الطَّرْفِ
تَضَاحَكُ عَنْ دُرّ وَتَبْسِمُ عَنْ سَنًى
وَتَخْطُرُ عَنْ بَانٍ وَتَلْحَظُ عَنْ خَشْفِ
تَبَدَّتْ وَقَدْ هَزَّتْ مَعَاطِفَ رِدفهَا
فَأبْدَتْ هِلاَلاً فَوْقَ غُصْنٍ على حَتْفِ
فُتِنْتُ بِلآمِ الصُّدْغِ مِنْهَا وَلَمْ أكُنْ
أديِنُ بِصَادِ اللَّحْظِ مِنْهَا عَلَى حَرْفِ",4
إذا كنت ذا ثنتين فاغد محاربا,طويل,"إِذا كُنتَ ذا ثِنتَينِ فَاِغدُ مُحارِباً
عَدُوَّينِ وَاِحذَر مِن ثَلاثِ ضَرائِرِ
وَإِن هُنَّ أَبدَينَ المَودَةَ وَالرِضا
فَكَم مِن حَقودٍ غُيِّبَت في السَرائِرِ
قِرانُكَ ما بَينَ النِساءِ أَذِيَّةٌ
لَهُنَّ فَلا تَحمِل أَذاةَ الحَرائِرِ
وَإِن كُنتَ غِرّاً بِالزَمانِ وَأَهلِهِ
فَتَكفيكَ إِحدى الآنِساتِ الغَرائِرِ
لَقَد وَدَّ أَصحابُ الكَبائِرِ لَو رَأَوا
جَرائِرَهُم مَقذوفَةً في الجَرائِرِ",5
ألا ليت أهل الأرض في الحزن والسهل,طويل,"ألا ليت أهل الأرض في الحزن والسهّل
فداءٌ لذهل كلهم وبني ذهلِ
فما هو إلاّ زينةٌ لملوكها
ولو عقلوا فَدَّوهُ بالمال والأهلِ
أبو حسن المعطى المحاسن كلّها
من الطبع والعادات والقول والفعل
له الحسب المعدود والنسب الّذي
زكا وصفا صفوَ الفريد من النصلِ
بحلم بلا ضعف وقولٍ بلا خنا
وصمتٍ بلا عيٍّ ويسرٍ بلا هزلِ
وبأسٍ بلا عجبٍ ونفع بلا أذىً
وبذل بلا منُّ ووعدٍ بلا مطلِ
إذا اشتغل النّاس احتفاظاً بمالهم
فذهل من الإنفاق للمال في شغلِ
برى نفعَه من ماله نفعَ غيره
سجيّةُ نفسٌ لم تجد لذّة البخلِ
كأَن يديه صيغتا من سماحةٍ
فما أقرب الموجود منه إلى البذلِ
أراه حمىّ للخائفين من العدَى
ومنتجَعاً للوفد في زمن المحلِ
أبا حسن ما أشبهَ النّاسَ باسمه
وما لك في كل المحاسن من مثلِ
بقيتَ ويُبقى الله أولادك الألى
همُ الفرع يَدري أنه طيّب الأصلِ
سألنا لكم طول البقاء كأنّما
سألنا بقاءً للْمكارم والفضلِ
ويهنيكم الشّهر الجديد مبشّراً
بمستمع النّعمى ومجتمع الشّملِ
فأجروا لنا عادات بركم الّذي
لو أنا سكتنا جاء بالعاجل الجَزْلِ",15
قديمة راح في يمين حديثة,طويل,"قديمة راحٍ في يمين حديثةٍ
من السنّ عن شيخ التصابي محدّثه
تثنت على رغمِ القلى وتربعت
لو صلي بحمى العاذلات مثلثه
فدًا لوزير الملك ملبس صحة
لنار الأعادي والجناة مؤرَّثَه
ويمناً على مصرٍ وشامٍ أفاضهُ
وزير زمانٍ ساعد السعد مبْعَثه
وزيرٌ لديه العقد والحلّ راقنا
فما عقدةٌ في الحاسدين منفّثه
أخو السعد في كل الأمور أرادها
يهذّب ما كان الزمان قد أحدَثه
نهني بلقياه حمى مصر إنها
بغيبتهِ حاشا المزاج مغلّثه",7
ألا أبلغ أسيداً حيث سارت ويممت,طويل,"أَلا أُبلِغ أُسيداً حيث سارَت وَيَمَّمَت
بِما لَقِيَت مِنّا جُموعُ الزَمازِمِ
غَداةَ هَوَوا في وَأيِ خُردٍ فَأَصبَحوا
تَعودُهُم شُهبُ النُسورِ القَشاعِمِ
قَتَلناهُمُ حَتّى مَلَأنا شِعابَهُم
وَقَد أُفعِمَ اللَهَبُ الَّذي بِالصَرائِمِ",3
قالت مفداة لما أن رأت,طويل,"قالت مفداة لما أن رأت أرقي
والهم يعتادني من طيفه لمم
نهبت مالك في الأدنين آصرة
وفي الأباعد حتى حفك العدم
فاطلب إليهم ترى ما كنت من حسن
تسدى إليهم فقد باتت لهم صرم
فقلت عذلك قد أكثرت لائمتي
ولم يمت حاتم هزلا ولا هرم",4
أبيت أمني النفس أن سوف نلتقي,طويل,"أَبيتُ أُمَنّي النَفسَ أَن سَوفَ نَلتَقي
وَهَل هُوَ مَقدورٌ لِنَفسٍ لِقاؤُها
وَإِن أَلقَها أَو يَجمَعِ اللَهُ بَينَنا
فَفيها شِفاءُ النَفسِ مِنّي وَداؤُها
أُرَجّي أَميرَ المُؤمِنينَ لِحاجَةٍ
بِكَفَّيكَ بَعدَ اللَهِ يُرجى قَضاؤُها
وَأَنتَ سَماءُ اللَهِ فيها الَّتي لَهُم
مِنَ الأَرضِ يُحيِي مَيِّتَ الأَضِ ماؤُها
كِلا أَبَوَيكَ اِستَلَّ سَيفَ جَماعَةٍ
عَلى فِتيَةٍ تَلقى البَنينَ نِساؤُها
فَما أُغمِدَ حَتّى أَنابَت قُلوبُهُم
وَسَمَّحَ لِلضَربِ الشَآمي دِماؤُها
لِنِعمَ مُناخُ القَومِ حَلّوا رِحالَهُم
إِلى قُبَّةٍ فَوقَ الوَليدِ سَماؤُها
بَناها أَبو العاصي وَمَروانُ فَوقَهُ
وَيوسُفُ قَد مَسَّ النُجومَ بِناؤُها
فَإِن يَبعَثِ المَهدِيُّ لي ناقَتي الَّتي
يَهيجُ لِأَصحابي الحَنينَ بُكاؤُها
وَإِن يَبعَثوها بِالنَجاحِ فَقَد مَشَت
إِلَيكُم عَلى حَوبٍ وَطالَ ثَواؤُها
وَإِنَّ عَلَيها إِن رَأَت مِن غِمارِها
ثَنايا بِراقٍ أَن يَجِدَّ نَجاؤُها",11
أفي كل يوم منزل ورحيل,طويل,"أفي كل يوم منزل ورحيل
وقال به ذرعاً تضيق وقيل
وعمر كأحلام اليتيم كآبة
وعيش كجدوى المسنتين هزيل
عفا القلب إلا من تباريح وجده
وأقوت عراص النفس فهي طلول
فما للعشيات التي منيت بها
لياليه في سهل العريف سبيل
فيا حبذا من ماء راحوب رشفة
وظل بجرعاء السريج ظليل
وفي دار قسيس القرية ليلة
تقضى وفي حضن الصريح مقيل",6
وإني لنار دونها رمل عالج,طويل,"وَإِنّي لِنارٍ دونَها رَملُ عالِجٍ
عَلى ما بِعَيني مِن قَذىً لَبَصيرُ
كَأَنَّ نَسيمَ الريحِ حينَ يُنيرُها
كَنَجمِ خَفِيٍّ في الظَلامِ يُنيرُ
مَتى تُذكَري لِلقَلبِ يَنهَض بِرَوعَةٍ
جَناحُ الهَوى حَتّى يَكادُ يَطيرُ",3
